ID,Location(s),Direction(s),Median Quantity,Unit,Distribution,COV
B2022.002,all,1,900,ft2,lognormal,0.8
B2022.002,all,2,337.5,ft2,lognormal,0.8
B2022.002,all,1,1472.72,ft2,lognormal,0.6
B2022.002,all,2,552.27,ft2,lognormal,0.6
C1011.001a,all,1,510,ft,lognormal,0.2
C1011.001a,all,2,337.5,ft,lognormal,0.2
C1011.001a,all,1,490,ft,lognormal,0.2
C1011.001a,all,2,184,ft,lognormal,0.2
C2011.001a,all,1,2.18,ea,lognormal,0.2
C2011.001a,all,2,0.81,ea,lognormal,0.2
C2011.011a,all,1,30.25,ft,lognormal,0.8
C2011.011a,all,2,11.35,ft,lognormal,0.8
C3011.001a,all,1,30.25,ft,lognormal,0.8
C3011.001a,all,2,11.345,ft,lognormal,0.8
C3011.001a,all,1,37.09,ft,lognormal,0.7
C3011.001a,all,2,13.9,ft,lognormal,0.7
C3032.003a,all,"1,2",3506.25,ft2,lognormal,0.1
C3032.003a,all,"1,2",206.25,ft2,lognormal,0.1
C3032.003a,all,"1,2",330,ft2,lognormal,0.1
C3032.003a,all,"1,2",82.5,ft2,lognormal,0.1
C3032.003a,all,"1,2",3037.5,ft2,lognormal,0.1
C3032.003a,all,"1,2",168.75,ft2,lognormal,0.1
C3032.003a,all,"1,2",101.25,ft2,lognormal,0.1
C3032.003a,all,"1,2",67.5,ft2,lognormal,0.1
D1014.011,all,"1,2",0.5,ea,lognormal,0.7
D2021.013a,all,"1,2",247.5,ft,lognormal,0.3
D2021.013a,all,"1,2",141.75,ft,lognormal,0.7
E2022.102a,all,"1,2",12.4,ea,lognormal,0.5
E2022.102a,all,"1,2",6.75,ea,lognormal,0.6
E2022.112a,all,"1,2",1.25,ea,lognormal,0.3
E2022.112a,all,"1,2",2.7,ea,lognormal,0.6
