,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2
Units,g,g,g,g,g,g,g,g,g,g,rad,rad,rad,rad,rad,rad,rad,rad
1,1.22343,1.28379,1.64243,1.8138,1.54037,1.49639,1.26276,1.75237,1.23091,1.3344,0.00565,0.00723,0.01468,0.01546,0.02223,0.01643,0.02979,0.00982
2,1.20471,2.20087,1.48797,1.63015,1.29212,1.24113,1.21961,1.04939,1.49764,1.19217,0.01368,0.01413,0.02033,0.02898,0.03041,0.03307,0.03189,0.02735
3,1.16867,1.68409,1.20698,1.64632,1.46413,1.51809,1.46552,1.54665,1.20694,1.21009,0.0081,0.008,0.00987,0.01515,0.00627,0.01385,0.01405,0.02476
4,1.23145,1.128,1.56828,1.21716,1.0659,1.33954,1.31575,1.25313,1.201,1.24503,0.0145,0.0083,0.0274,0.01146,0.03272,0.01052,0.03013,0.01605
5,1.84711,1.17127,1.45794,1.29482,1.3748,1.09764,1.21836,1.321,1.61192,1.43654,0.01872,0.02155,0.03252,0.03484,0.03944,0.04077,0.06096,0.04205
6,2.03307,1.2631,1.68352,1.34646,1.55346,1.19218,1.62925,1.14197,1.4349,1.62682,0.01409,0.00896,0.02468,0.02213,0.02696,0.0289,0.03223,0.02707
7,1.01607,1.52661,1.04831,2.11096,1.05185,1.90243,1.0333,1.07209,0.98817,1.24418,0.0393,0.0305,0.05605,0.04796,0.06241,0.05919,0.06766,0.06352
8,1.24601,1.3808,1.53483,1.6755,1.2863,1.70688,1.20376,1.40083,1.24572,1.40928,0.01542,0.00887,0.02438,0.01693,0.02421,0.01865,0.03282,0.01992
9,1.87129,1.67446,1.75912,1.67131,1.79545,1.65495,1.71959,1.18084,1.49492,1.09213,0.00758,0.00674,0.02013,0.01207,0.02619,0.01809,0.03256,0.02578
10,1.63568,1.00205,1.83894,1.09621,1.61561,1.12375,2.02237,1.31878,1.62616,1.51493,0.00693,0.00566,0.01253,0.01033,0.01396,0.01159,0.01343,0.01416
11,1.19777,1.54735,1.32687,1.55932,1.12935,1.67182,1.14969,1.23551,1.17517,1.20591,0.02099,0.0165,0.02572,0.02866,0.02457,0.03637,0.01986,0.03576
12,1.57936,1.32148,1.89486,1.58102,1.17371,1.47218,1.59577,1.22486,1.75851,1.24114,0.00861,0.01071,0.02253,0.01362,0.03008,0.0127,0.03199,0.02477
13,0.88496,1.92704,0.94537,1.99558,1.03718,1.95974,1.08106,1.45352,0.89116,1.65254,0.006,0.00569,0.00812,0.01009,0.00697,0.01431,0.00712,0.01971
14,1.1891,1.18012,1.5335,1.29595,1.46724,1.30873,1.50855,1.2806,1.24677,1.10239,0.00654,0.00972,0.0154,0.01983,0.02031,0.02367,0.01907,0.02624
